Miracle,7.5,8
Annihilation,6.8,7
Darkest Hour,7.4,9
Verónica,6.2,7
The Shape of Water,7.3,8
Wheelman,6.4,7
Novitiate,6.7,7
The Lodgers,5.1,6
The World's End,7,7
The Ritual,6.3,8
Justice League,6.1,7
The Cloverfield Paradox,5.5,2
Altered Carbon,8,8
Crooked House,6.3,7
Valerian and the City of a Thousand Planets,6.5,6
The Hitman's Bodyguard,6.9,7
Universal Soldier: Regeneration,5.3,6
Jurassic Park III,5.9,6
The 33,6.9,6
The Secret Life of Walter Mitty,7.3,8
Bright,6.3,8
My Cousin Rachel,6,7
Thor: Ragnarok,7.9,8
The Ghost Writer,7.2,7
The Man from Earth,7.9,8
Kiseijû: Sei no kakuritsu,8.4,10
Die Another Day,6.1,7
GoldenEye,7.2,8
Kangoku gakuen,7.6,9
One Punch Man: Wanpanman,8.8,9
Honey; I Shrunk the Kids,6.4,7
Mama,6.2,7
Shingeki no Kyojin,9.1,8
Project Almanac,6.3,5
Eye in the Sky,7.3,8
The Foreigner,7,8
Ride Along 2,5.9,7
Happy Death Day,6.6,7
The Human Centipede (First Sequence),4.4,5
American Made,7.1,8
Blade Runner 2049,8,9
Better Watch Out,6.5,7
Cult of Chucky,5.2,5
The Usual Suspects,8.5,9
Children of Men,7.9,8
Ride Along,6.1,6
American Assassin,6.2,7
Jumanji: Welcome to the Jungle,6.9,7
It,7.3,8
The Ugly Truth,6.4,6
Enter Nowhere,6.5,8
Death Note: Desu nôto,9,9
Powder Blue,6.2,8
Kingsman: The Golden Circle,6.7,7
Amityville: The Awakening,4.8,6
La La Land,8,8
6 Days,6.2,7
The Limehouse Golem,6.3,7
Fifty Shades of Grey,4.2,6
Atomic Blonde,6.7,7
Stranger Things,8.7,9
Wind River,7.7,8
American Playboy: The Hugh Hefner Story,7.5,7
Joy Ride,6.6,6
The Hitcher,5.6,7
A Knight's Tale,6.9,8
War for the Planet of the Apes,7.4,7
The Grand Budapest Hotel,8.1,9
The Lucky One,6.5,7
Argo,7.7,9
The Faculty,6.5,8
The Water Diviner,7,8
Megan Leavey,7.1,8
The Trials of Cate McCall,6.2,9
Unlocked,6.3,7
We Are Your Friends,6.2,7
Fast & Furious 7,7.2,7
Need for Speed,6.4,6
Family Guy,8.2,10
47 Meters Down,5.6,5
The Recall,4.2,5
Inconceivable,5.2,7
It Comes at Night,6.2,7
Apocalypto,7.8,8
The Numbers Station,5.6,7
Demolition,7,7
The Bourne Identity,7.9,9
Jason Bourne,6.6,8
The Bourne Legacy,6.6,8
The Bourne Ultimatum,8,8
Annabelle: Creation,6.5,8
Wonder Woman,7.4,5
Baywatch,5.5,6
The Bourne Supremacy,7.7,9
Snowden,7.3,8
The Judge,7.4,8
Annabelle,5.4,7
The Lost City of Z,6.6,8
